transaction_id,identity_id,timestamp,amount,merchant_category,device_type,device_fingerprint,home_city,txn_city,geo_distance_km,account_age_days,hour_of_day,is_odd_hour,velocity_1h,velocity_24h,billing_shipping_mismatch,new_payment_method,cvv_retries,prior_chargebacks_90d,is_fraud,is_chargeback,device_fp_identity_count,device_fp_txn_count,amount_to_category_avg_ratio
txn_0000000,4659,2026-07-22 11:47:00,21178.85,travel,mobile_web,2578551,Ahmedabad,Ahmedabad,0.0,520.0,11,0,1,11,0,0,1,1,0,0,28,38,1.264
txn_0000001,2860,2026-07-24 15:43:00,709.45,subscription,mobile_web,3608899,Bengaluru,Bengaluru,0.4,332.0,15,0,2,3,0,0,0,0,0,0,1,4,1.169
txn_0000002,744,2026-05-11 13:34:00,12935.67,travel,pos,1969083,Ahmedabad,Ahmedabad,0.0,16.0,13,0,0,2,0,0,0,0,0,0,1,5,0.772
txn_0000003,218,2026-07-06 17:34:00,2612.76,home_goods,mobile_app,1194330,Delhi,Delhi,0.0,142.9,17,0,0,3,0,0,0,0,0,0,1,7,0.68
txn_0000004,2297,2026-07-09 17:24:00,27120.08,jewellery,mobile_app,3874,Mumbai,Mumbai,0.0,751.2,17,0,1,3,0,0,0,0,0,0,1,10,1.034
txn_0000005,4520,2026-07-06 23:04:00,6980.16,electronics,mobile_app,9140936,Hyderabad,Hyderabad,2.0,339.0,23,0,1,2,0,0,0,0,0,0,1,9,0.675
txn_0000006,1366,2026-06-07 07:51:00,7277.8,electronics,mobile_web,7219041,Kolkata,Kolkata,0.0,369.0,7,0,0,2,0,0,1,0,0,0,1,11,0.704
txn_0000007,441,2026-07-07 16:28:00,386.44,food_delivery,mobile_web,8568223,Mumbai,Mumbai,4.0,20.8,16,0,0,2,0,0,0,0,0,0,1,7,0.579
txn_0000008,229,2026-06-30 12:45:00,1341.43,food_delivery,mobile_app,2998222,Kolkata,Kolkata,0.8,156.3,12,0,0,3,0,0,0,0,0,0,1,7,2.012
txn_0000009,2266,2026-06-02 15:17:00,760.9,pharmacy,mobile_app,6238646,Jaipur,Jaipur,1.3,4.1,15,0,0,1,0,0,0,0,0,0,1,11,0.92
txn_0000010,1507,2026-07-10 21:43:00,18139.9,travel,desktop_web,58143,Mumbai,Mumbai,0.0,490.5,21,0,0,0,0,0,0,0,0,0,1,8,1.083
txn_0000011,257,2026-05-13 01:48:00,552.94,food_delivery,mobile_app,7569407,Delhi,Delhi,0.0,79.4,1,1,0,0,0,0,0,0,0,0,1,8,0.829
